
INFO:     Started server process [23912]
INFO:     Waiting for application startup.
2026-05-11 17:45:46,674 | INFO     | app.main — Veritabaný tablolarý kontrol ediliyor / oluþturuluyor…
2026-05-11 17:45:46,675 | DEBUG    | aiosqlite — executing <function connect.<locals>.connector at 0x000001A6B4277ED0>
2026-05-11 17:45:46,678 | DEBUG    | aiosqlite — operation <function connect.<locals>.connector at 0x000001A6B4277ED0> completed
2026-05-11 17:45:46,680 | DEBUG    | aiosqlite — executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001A6C87E8400>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001A6B6D69850>, deterministic=True)
2026-05-11 17:45:46,682 | DEBUG    | aiosqlite — operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001A6C87E8400>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001A6B6D69850>, deterministic=True) completed
2026-05-11 17:45:46,682 | DEBUG    | aiosqlite — executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001A6C87E8400>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-05-11 17:45:46,682 | DEBUG    | aiosqlite — operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001A6C87E8400>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-05-11 17:45:46,683 | DEBUG    | aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>)
2026-05-11 17:45:46,683 | DEBUG    | aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>) completed
2026-05-11 17:45:46,683 | DEBUG    | aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E0840>, 'PRAGMA read_uncommitted', [])
2026-05-11 17:45:46,684 | DEBUG    | aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E0840>, 'PRAGMA read_uncommitted', []) completed
2026-05-11 17:45:46,684 | DEBUG    | aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E0840>)
2026-05-11 17:45:46,685 | DEBUG    | aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E0840>) completed
2026-05-11 17:45:46,685 | DEBUG    | aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001A6C87E0840>)
2026-05-11 17:45:46,686 | DEBUG    | aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001A6C87E0840>) completed
2026-05-11 17:45:46,686 | DEBUG    | aiosqlite — executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001A6C87E8400>)
2026-05-11 17:45:46,686 | DEBUG    | aiosqlite — operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001A6C87E8400>) completed
2026-05-11 17:45:46,687 | INFO     | sqlalchemy.engine.Engine — BEGIN (implicit)
2026-05-11 17:45:46,688 | INFO     | sqlalchemy.engine.Engine — PRAGMA main.table_info("musteriler")
2026-05-11 17:45:46,689 | INFO     | sqlalchemy.engine.Engine — [raw sql] ()
2026-05-11 17:45:46,690 | DEBUG    | aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>)
2026-05-11 17:45:46,690 | DEBUG    | aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>) completed
2026-05-11 17:45:46,691 | DEBUG    | aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E0E40>, 'PRAGMA main.table_info("musteriler")', ())
2026-05-11 17:45:46,692 | DEBUG    | aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E0E40>, 'PRAGMA main.table_info("musteriler")', ()) completed
2026-05-11 17:45:46,692 | DEBUG    | aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E0E40>)
2026-05-11 17:45:46,692 | DEBUG    | aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E0E40>) completed
2026-05-11 17:45:46,692 | DEBUG    | aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001A6C87E0E40>)
2026-05-11 17:45:46,693 | DEBUG    | aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001A6C87E0E40>) completed
2026-05-11 17:45:46,693 | INFO     | sqlalchemy.engine.Engine — PRAGMA main.table_info("kullanicilar")
2026-05-11 17:45:46,693 | INFO     | sqlalchemy.engine.Engine — [raw sql] ()
2026-05-11 17:45:46,694 | DEBUG    | aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>)
2026-05-11 17:45:46,694 | DEBUG    | aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>) completed
2026-05-11 17:45:46,694 | DEBUG    | aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E1240>, 'PRAGMA main.table_info("kullanicilar")', ())
2026-05-11 17:45:46,694 | DEBUG    | aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E1240>, 'PRAGMA main.table_info("kullanicilar")', ()) completed
2026-05-11 17:45:46,695 | DEBUG    | aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E1240>)
2026-05-11 17:45:46,696 | DEBUG    | aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E1240>) completed
2026-05-11 17:45:46,696 | DEBUG    | aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001A6C87E1240>)
2026-05-11 17:45:46,697 | DEBUG    | aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001A6C87E1240>) completed
2026-05-11 17:45:46,697 | INFO     | sqlalchemy.engine.Engine — PRAGMA main.table_info("santiyeler")
2026-05-11 17:45:46,697 | INFO     | sqlalchemy.engine.Engine — [raw sql] ()
2026-05-11 17:45:46,698 | DEBUG    | aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>)
2026-05-11 17:45:46,698 | DEBUG    | aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>) completed
2026-05-11 17:45:46,698 | DEBUG    | aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E15C0>, 'PRAGMA main.table_info("santiyeler")', ())
2026-05-11 17:45:46,698 | DEBUG    | aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E15C0>, 'PRAGMA main.table_info("santiyeler")', ()) completed
2026-05-11 17:45:46,699 | DEBUG    | aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E15C0>)
2026-05-11 17:45:46,699 | DEBUG    | aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E15C0>) completed
2026-05-11 17:45:46,699 | DEBUG    | aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001A6C87E15C0>)
2026-05-11 17:45:46,699 | DEBUG    | aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001A6C87E15C0>) completed
2026-05-11 17:45:46,699 | INFO     | sqlalchemy.engine.Engine — PRAGMA main.table_info("sablonlar")
2026-05-11 17:45:46,700 | INFO     | sqlalchemy.engine.Engine — [raw sql] ()
2026-05-11 17:45:46,700 | DEBUG    | aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>)
2026-05-11 17:45:46,700 | DEBUG    | aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001A6C87E8400>) completed
2026-05-11 17:45:46,700 | DEBUG    | aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E1940>, 'PRAGMA main.table_info("sablonlar")', ())
2026-05-11 17:45:46,700 | DEBUG    | aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001A6C87E1940>, 'PRAGMA main.table_info("sablonlar")', ()) completed
2026-05-11 17:45:46,701 | DEBUG    | aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001A6C87E1940>)
